,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,TiO,Ti3O5,Ti2O3,Ti2O,Ti3O,TiO2,Ti2O3,Ti6O,Ti3O5,Ti3O5,Zr3O,Zr2O,ZrO2,Zr3O,ZrO2,ZrO2,ZrO2,ZrO2,Zr3O,ZrO2
SiO2,1.6638517168785795e-06,0.9732072846369703,0.9882521096306986,0.9924149908803165,0.9721234684641612,0.9721392227242726,0.734623579083777,0.9879499284432575,0.7364503154587013,0.9767617379529401,0.9989383891983348,0.9941699048517753,0.998319851052869,0.9998027756449375,0.9923252545042296,0.9930950353314686,0.9782352784597358,0.9925599359822374,0.9930834945998869,0.9997861786270859,0.9967160799117962,0.9944150633989861,0.9866770604564437,0.9966813428088429,0.9845015338086793,0.9838955141181824,0.9977088619234447,0.9883691643929684,0.9965997696539477,0.9920566614540047
SiO2,0.9732072846369703,1.6223597801713496e-06,0.9303083790682688,0.7316432527806317,0.7156189814738825,0.8864491175549261,0.9573671437121093,0.9481937948281391,0.9576384654915698,0.7404759717223717,0.9947333213617682,0.9940901752990133,0.9580114046119949,0.9971606594135025,0.9940566567993956,0.9987412213181753,0.9996293666267582,0.9941906314743837,0.9875582118611747,0.987052004523824,0.9953305546717724,0.9905503078793276,0.987294035024746,0.9957876614826024,0.9899448376274589,0.9825285873294651,0.9831523458240633,0.9869114181958127,0.9954384631851527,0.9955712390194862
SiO2,0.9882521096306986,0.9303083790682688,2.032595427058897e-06,0.8829090099577459,0.9170239651794656,0.9542845054895124,0.9950864512983549,0.8810669394056332,0.9950716571837885,0.8753433706323656,0.9956868841611665,0.9986973916347179,0.9747519169371818,0.9928307263476959,0.9938141918671966,0.9989482987224875,0.9979893808082905,0.9931435746699059,0.9986639287782448,0.9984737432287304,0.9848174216193976,0.9994916279510424,0.9805491448971934,0.9851815386396303,0.991877015722631,0.9879093310532291,0.9962909560722847,0.9840961536658768,0.9854394882334581,0.9620172388723758
SiO2,0.9924149908803165,0.7316432527806317,0.8829090099577459,1.5524458362807486e-06,0.6262944132981145,0.9410014387186263,0.9813890811797785,0.9018514394794274,0.9815960095610754,0.6343511436229252,0.9921140757599454,0.9908859343652066,0.9842644772807726,0.9963134278550478,0.9921955968483419,0.9957694414344394,0.9880541978504029,0.9932364380120443,0.9851578696218061,0.9995761332569445,0.9983050235812577,0.9960707900234635,0.9903843711128599,0.998182427019307,0.9947448167943299,0.9892263248744565,0.9880923966047527,0.9892413309573107,0.998211459356742,0.9990928548203015
SiO2,0.9721234684641612,0.7156189814738825,0.9170239651794656,0.6262944132981145,1.3123963421322614e-06,0.8657173217945641,0.9610739989128672,0.9180230035155506,0.961744946998323,0.6382920051219024,0.9967068125003855,0.9997346741535685,0.9869521427201096,0.9958406353758066,0.9927163852133136,0.9952507088174241,0.9955316821554155,0.9926841768178438,0.9975342493972984,0.9810029507671942,0.9985709606608201,0.9985132130379526,0.9977859636842468,0.9966781103704871,0.9986340457336688,0.9989118822203287,0.9846495551327614,0.9963181822593802,0.9965362636794517,0.9992757395171395
SiO2,0.9721392227242726,0.8864491175549261,0.9542845054895124,0.9410014387186263,0.8657173217945641,1.844488617625934e-06,0.9714413244992453,0.8661896536534188,0.9714402395684677,0.8612791456653995,0.9864419614534531,0.9990525960985791,0.9971308075319573,0.9965571243716543,0.9976959368639483,0.9948426048309732,0.9981434678023796,0.9973916170927991,0.9878900730010617,0.9824695921082457,0.9977064373972055,0.9967662318862268,0.995101346126893,0.9977481051242854,0.9974288073513671,0.9996059626986646,0.9848544952894528,0.9974952309460455,0.9978897686512098,0.9947853438247721
SiO2,0.734623579083777,0.9573671437121093,0.9950864512983549,0.9813890811797785,0.9610739989128672,0.9714413244992453,2.1390435707261783e-06,0.994101795245909,0.01665865128886485,0.9803858012729681,0.9611053074208494,0.9879525919537975,0.9916612064917348,0.9973620377159168,0.9986591247420603,0.9985411268769895,0.9881894450468868,0.9953646861149353,0.9958348996789154,0.9959649150835398,0.9876921093325962,0.9816275963161671,0.9851775163238989,0.9874268177465404,0.9958166280426811,0.9857741327215549,0.9964219739193668,0.9869655934323952,0.9872172489420259,0.9935516021121406
SiO2,0.9879499284432575,0.9481937948281391,0.8810669394056332,0.9018514394794274,0.9180230035155506,0.8661896536534188,0.994101795245909,1.9212201737876828e-06,0.9941311602511148,0.911517828800183,0.9885929566191193,0.998961192354713,0.9963518517737703,0.9999949216095707,0.9996251353616343,0.9873580081906332,0.9977152652374033,0.9987592202172579,0.9831046048024565,0.9883874711897307,0.9951417674036955,0.996171183833666,0.9977348866252981,0.99489773041117,0.9964362990446388,0.9979730159008068,0.998555076391023,0.998592585004232,0.9947982387863429,0.9971708650220588
SiO2,0.7364503154587013,0.9576384654915698,0.9950716571837885,0.9815960095610754,0.961744946998323,0.9714402395684677,0.01665865128886485,0.9941311602511148,2.1441312444124277e-06,0.980647180975138,0.9611826709063442,0.9879420139858686,0.9915652240178608,0.9953850645932226,0.9986466467087215,0.9985122553934619,0.9881245750722651,0.9955887302103023,0.9958192367840537,0.9959001132910651,0.9879606608723772,0.9816982224264693,0.9858075709136663,0.9877141111998048,0.9961359408054572,0.9859532421836125,0.9963150960429003,0.98758669473985,0.987511133604285,0.9934895578365565
SiO2,0.9767617379529401,0.7404759717223717,0.8753433706323656,0.6343511436229252,0.6382920051219024,0.8612791456653995,0.9803858012729681,0.911517828800183,0.980647180975138,1.0291829913569514e-06,0.9916823920120951,0.9954204957398791,0.9956839006718483,0.9993202544498665,0.9973566094687027,0.9934827428080861,0.9911329585709049,0.9972703187843994,0.9912844902354062,0.9816774295507422,0.9984903709918141,0.9966166645305397,0.9947731310966853,0.9984028172435176,0.9966876254860806,0.9970148013941955,0.9918639034888919,0.9941974098805318,0.9985062845251859,0.9944508199427613
