,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,TiO,Ti3O5,Ti2O3,Ti2O,Ti3O,TiO2,Ti2O3,Ti6O,Ti3O5,Ti3O5,Zr3O,Zr2O,ZrO2,Zr3O,ZrO2,ZrO2,ZrO2,ZrO2,Zr3O,ZrO2
SiO2,6.921130335513226e-13,0.3847527773454439,0.42452919799912103,0.43750231113777116,0.38290600614638287,0.382897242508259,0.16061092690132422,0.42434318746714833,0.16159113319115004,0.393097860746377,0.4766991717266265,0.4455758116770715,0.4706061313315919,0.49011987175593896,0.43959736865202415,0.44119010440424516,0.3960152814419432,0.43904961521991753,0.4416736992112643,0.48945741606718757,0.45961638252409415,0.44698953839528976,0.4185709729631353,0.459440407791614,0.4123184920166319,0.4107221926957065,0.4661952107725125,0.42393130750174013,0.45894737840968847,0.4371204803617001
SiO2,0.38618385777164266,6.583622536027178e-13,0.31627441178512683,0.15926492608370213,0.15101080822505125,0.27177923177387564,0.3558376999798601,0.3516107639941491,0.35627807259802724,0.1644383736894116,0.44938687703735436,0.4461177302886659,0.3563711051533651,0.47354267212403706,0.44323784475149713,0.47540314123704175,0.48658277939690175,0.4437938115380347,0.4207451949077813,0.4194297583948463,0.4484397996656017,0.4260111299044008,0.4263075042862815,0.45134123552360034,0.4234083863438911,0.40737126651771566,0.40776974576712355,0.42250528658769926,0.4493920163102466,0.45380131584039374
SiO2,0.42294441162979934,0.31701818558847183,1.0317857679353892e-12,0.26677565767832634,0.30175873960502386,0.3506391727890734,0.4502832448012814,0.26337781640371,0.4501729185289511,0.25924105232640493,0.4550949549782172,0.4757103470438526,0.38827893250240797,0.42984862652408706,0.44812601607353547,0.47739233134466535,0.4679912685221564,0.441809400860263,0.47353646596950305,0.4726251812007443,0.41307771902483365,0.48420847457876703,0.4024547452092316,0.4139734780296922,0.43636341525760713,0.4212474948083117,0.45719351036570016,0.41076822344773395,0.41468689324359137,0.3633367831992811
SiO2,0.4402532403565854,0.1594518644243309,0.2636557171578662,6.029066135226913e-13,0.11036153148506705,0.3304489270479127,0.4040771504710363,0.2857647336686657,0.4046082012823845,0.11361932107236228,0.4375485398361941,0.4325751733017805,0.4078221522298795,0.45821240582336215,0.43825271565417545,0.4539506098223986,0.42191255137532735,0.4419073189223569,0.41365778440000817,0.48240304450700344,0.4706712743949455,0.45609836082399713,0.43191733208245137,0.46961997994395666,0.449676365487172,0.42803563735079,0.4228256894820418,0.4280569758738302,0.4698649786663962,0.4789652714246831
SiO2,0.38341181753149767,0.15099596727501502,0.2993768276242071,0.1103516053358724,4.313216450668733e-13,0.25060590262264126,0.362282245405253,0.3030709880631751,0.3634505092404622,0.11531382810714214,0.4594247341537338,0.4880608668907569,0.41858604669518557,0.4543920096733653,0.43953304791258896,0.4511779306892469,0.4349389813066487,0.4396260741491061,0.46408508257094355,0.4022712449000704,0.47196717918254666,0.4728469212520937,0.46088852007502007,0.4479809547809922,0.46944501277460576,0.47683991804464104,0.4125555986627815,0.45772513120886943,0.4473164961328807,0.4811928972493209
SiO2,0.3826351678670966,0.2652515435854794,0.3504407939357976,0.33093681299522437,0.2486703303522143,8.499867476530198e-13,0.38119033622128673,0.25013349520183575,0.3812045279198193,0.2451878568562334,0.41804203749339336,0.4783962651287748,0.46208542657019325,0.4575181054944788,0.4590960149887624,0.4495558588801401,0.4697475038819706,0.4623589997712171,0.42227214724308304,0.4067277375478747,0.46601445320320534,0.46685853182058856,0.4524438748984485,0.4663581650806264,0.46353596364031685,0.4870488745801848,0.41498119141472395,0.4656483641663687,0.4674394178159565,0.44926362147017096
SiO2,0.16112150410027515,0.355894628398027,0.45099717952011986,0.4044130501207503,0.36202895637037574,0.38149669911769235,1.1433076707589862e-12,0.4460061448968541,7.005643652313598e-05,0.4017433869651995,0.36241370135057493,0.4230388433394885,0.43545677777964575,0.45298547104863546,0.4737233719079337,0.4730368047311122,0.4233117133478758,0.4523815931527118,0.4550103356074683,0.45480265849288837,0.42197453224272435,0.4554865167279043,0.4148610055030763,0.4211488078368474,0.4543884681442992,0.41626508015324404,0.45763519087537213,0.4195897471865987,0.4204982642965902,0.44349427600128205
SiO2,0.42102655700672736,0.3315285285101279,0.26366045010152017,0.2821185024567941,0.30028643827528895,0.25014988179889225,0.445551554615299,9.20652443170411e-13,0.4457231017859104,0.29287336645385703,0.4251554258583807,0.47952527841799863,0.4575694987083806,0.4980029050494136,0.48706725411927215,0.42002240716918493,0.46829845529628533,0.47234846220048166,0.40844115709458106,0.42453017222340705,0.4511562947741839,0.45572515681252,0.47232045799783895,0.4484687862282061,0.461530528874341,0.46440028887603924,0.46354894106485883,0.47569673928560896,0.4480224239418562,0.46193106531261174
SiO2,0.16212683141176099,0.3563576499002377,0.4509596683740793,0.4049442894133216,0.3632109753780472,0.38147168953781085,6.879025793271598e-05,0.4460964655672328,1.148858785882112e-12,0.4023917449970312,0.36256453353634177,0.4230357189004219,0.4351022390875806,0.4526276953541227,0.47352195360343463,0.47278766075910134,0.42311155947778767,0.4535405373485785,0.4549229805752158,0.4544447317532838,0.4228078021655336,0.4552890344201174,0.41668575125360935,0.4220329520281412,0.45618049053565013,0.416806739179054,0.45700984307208026,0.4214751188956986,0.42139864801201077,0.44324601098216687
SiO2,0.3935030324379901,0.16406561354945004,0.2570260357792534,0.11364779724494217,0.11534711366907202,0.24632385209239854,0.40196586344238583,0.29569114799320984,0.402630789691118,2.653433028854124e-13,0.4354747964204636,0.45244587343113696,0.45310770364320074,0.48592822447239187,0.46350068029016495,0.4428556509124202,0.43254749269830667,0.4630422178018303,0.4332288420665217,0.40416027186888204,0.4729092412112162,0.45899906896234155,0.44955852785537026,0.4721256151745972,0.45933280173550706,0.46154213227818525,0.4360657062799372,0.44664796130423945,0.47306312163139425,0.446830188394083
TiO,0.47678897108933616,0.4475609724774094,0.4523146032290157,0.43754690200798246,0.4599788055116655,0.4178328993810061,0.3610788455046305,0.42427632172311003,0.36120092833873485,0.4362249689604909,2.2186141812596816e-12,0.46688978589729246,0.4980955327579002,0.4076510444540262,0.4829124250939113,0.4371300163078024,0.4821322715471736,0.35229216292504495,0.44002068955630275,0.42058176379198786,0.4212703820113962,0.3291132239933229,0.38933686115695587,0.42191313212810755,0.410841002756452,0.4230934784824718,0.4515416492845531,0.39048939525454096,0.4228946458725774,0.44217689769049573
Ti3O5,0.4460348690088531,0.44469538710705925,0.4734749694667313,0.43315416519010297,0.4880511614525759,0.4780866552614574,0.4218644631545385,0.4751768801017676,0.42180639304389567,0.45253701624403886,0.4681093095794158,1.0337286582284833e-12,0.43366322256349604,0.4213570351263287,0.4579233960013219,0.3804923756493934,0.4653788562076223,0.4510732910465708,0.42610013049932816,0.44700814406257644,0.4204653251863759,0.39781556337307766,0.4890994410386555,0.4219856995701591,0.4586767223424254,0.4862298481654843,0.4864703276147652,0.4311977479832276,0.4210225156286007,0.43796849597782084
