,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,TiO,Ti3O5,Ti2O3,Ti2O,Ti3O,TiO2,Ti2O3,Ti6O,Ti3O5,Ti3O5,Zr3O,Zr2O,ZrO2,Zr3O,ZrO2,ZrO2,ZrO2,ZrO2,Zr3O,ZrO2
SiO2,0.0,0.4338890880274393,0.48462372255508085,0.47854314547354393,0.42863681927497627,0.3846740143508762,0.21162201964259258,0.47065524394874414,0.20981063938997224,0.40407770804445153,0.5230078862108565,0.5308525481892524,0.5292709001925473,0.4953219053260119,0.5247130014444604,0.4785599552955151,0.5942617561176617,0.5288460688534551,0.44186510937709667,0.501279092820948,0.4596922951537555,0.5396746016008751,0.4211133923115291,0.45944092565718564,0.4128731556669249,0.4239443909740826,0.5239363943604551,0.42878844659715143,0.45894992699529275,0.4387067799836232
SiO2,0.4338890880274393,0.0,0.31834914936893727,0.16258536596488993,0.15107263243019764,0.3045443959255876,0.35861300307082,0.36805502959859626,0.35968310289770017,0.17985956011785148,0.5386249298567092,0.5442612580644371,0.6398499760012913,0.5250274653573493,0.5493053650114438,0.5198075927824304,0.4868697369994143,0.5411709153416222,0.5784524286596244,0.5370020650939487,0.5074328627535768,0.5067558760308387,0.4451404344185364,0.5087004020127717,0.4505937756120048,0.4126400326904675,0.5841950798880542,0.43307046408987393,0.5068490389616388,0.4914960315664806
SiO2,0.48462372255508085,0.31834914936893727,0.0,0.3051369395938913,0.3067636561341773,0.35291424802513827,0.48530809919683077,0.30584238918797696,0.48424324236292493,0.32011597621566723,0.47467994289528703,0.481853042185682,0.6088303196155818,0.49606251396585854,0.4819616697331082,0.4906927971627026,0.5284938386391261,0.4514104736133736,0.5017189628617001,0.47752549767926905,0.4379707385225888,0.4864579700026448,0.5967887819057669,0.43642591896645294,0.5634000970571382,0.5420853568560723,0.5359490760936172,0.5885726242909975,0.4379699295077891,0.45360713999691193
SiO2,0.47854314547354393,0.16258536596488998,0.3051369395938913,0.0,0.11951595170207152,0.337673886198824,0.46429613928979585,0.29587955482544115,0.4659763876681919,0.1191568784212797,0.4572053724753308,0.4342925335152096,0.5577540144931061,0.5391463521600726,0.552859863269901,0.546049390179202,0.5311228542768864,0.5566996464757563,0.5790467247322391,0.5000452622186777,0.5292660464318076,0.536017726796689,0.48298336362343924,0.5298078841624188,0.4994511451446554,0.45865096518967313,0.5765112659231272,0.47482332717450537,0.529744901421504,0.4822949922082422
SiO2,0.42863681927497627,0.15107263243019764,0.3067636561341773,0.11951595170207152,0.0,0.3280502209972831,0.386209656339915,0.33694598101580747,0.3873487790435538,0.1159300052579717,0.4712826768651086,0.5006449238110913,0.5791651643701837,0.5322484939370787,0.5477845679257649,0.546006091519156,0.5011094719698498,0.5595851581703919,0.5324104612790451,0.5399914379998914,0.5069656446506737,0.5193030704509036,0.5007621929789495,0.5052394368196114,0.5052655730203183,0.47886975591831826,0.5631768890321404,0.49158460096531953,0.5064398744295298,0.4827157272125038
SiO2,0.3846740143508762,0.3045443959255876,0.35291424802513827,0.337673886198824,0.32805022099728315,5.551115123125783e-17,0.39273936919939756,0.25102325232593364,0.3906832757968155,0.26495937791749824,0.5712725919078959,0.479094365684388,0.5369754227303243,0.5375972133892433,0.5042590792119994,0.46293624604639566,0.48009311326921905,0.507398098760727,0.5613415951284231,0.5915003413716965,0.5250025772301277,0.5248111620968287,0.5102738661090355,0.5281689792553217,0.48005847508422766,0.5032899215051144,0.5031262840399991,0.5175005990865467,0.52642094864407,0.5141976887506984
SiO2,0.21162201964259258,0.35861300307082,0.48530809919683077,0.46429613928979585,0.386209656339915,0.3927393691993976,0.0,0.4468753963020683,0.0004172625267051533,0.42592776813019284,0.5712848711266173,0.5615874278261646,0.5240307777077648,0.5006131497050991,0.520528908653637,0.5045620479801771,0.5595154567908074,0.5197132093867852,0.4671056954052894,0.5118921245056001,0.44305671907797806,0.5061433593990426,0.4239869345815763,0.4397952578027964,0.45704731373036855,0.45225840547495133,0.5420740106688081,0.41994547582578634,0.4387841491978878,0.4466771216101822
SiO2,0.47065524394874414,0.36805502959859626,0.30584238918797696,0.29587955482544115,0.33694598101580747,0.25102325232593364,0.4468753963020683,1.1102230246251565e-16,0.44668979987672264,0.3043998378463165,0.559643510560298,0.4930192178804415,0.45763013075052456,0.4991011093949943,0.4870671338230845,0.5050313540179673,0.48225703246793317,0.49882948956807077,0.5692163817808537,0.5117019545667539,0.45134966597714493,0.46103702558092685,0.5187546041370759,0.451025244779925,0.4988959027222751,0.48770154805390503,0.5102957204206832,0.5220481685147687,0.4507023622669917,0.5369948915220053
SiO2,0.2098106393899722,0.3596831028977001,0.48424324236292493,0.4659763876681919,0.3873487790435538,0.3906832757968155,0.0004172625267051533,0.44668979987672264,0.0,0.42649991319200764,0.5686293095572595,0.5608385366346974,0.5272252893959087,0.5010615819115659,0.520659995570543,0.5047525777262016,0.5617203142789755,0.5187436689761261,0.46749431171828265,0.5132980892827621,0.4427342404051633,0.5104082105241174,0.42447293399122676,0.43944005825557614,0.4596275404000666,0.4541114241655057,0.5428611272125483,0.4220752203788234,0.43847614275579105,0.44592351055205803
SiO2,0.40407770804445153,0.17985956011785148,0.32011597621566723,0.1191568784212797,0.1159300052579717,0.26495937791749824,0.42592776813019284,0.3043998378463165,0.42649991319200764,1.1102230246251565e-16,0.4587743179730377,0.45447166915521925,0.5400087027353917,0.5138574509985879,0.535190095994107,0.5559068208384846,0.5354717253156495,0.5301571618909497,0.5662711241991761,0.5453112592669194,0.48054879245440235,0.5314256383714324,0.4533023976068742,0.48170918873349505,0.47666815716129723,0.46204109915744834,0.5628518974931064,0.44724238619098966,0.4824926072044298,0.4821302370710827
