,Zr3O,Zr2O,ZrO2,Zr3O,ZrO2,ZrO2,ZrO2,ZrO2,Zr3O,ZrO2
Zr3O,0.0,0.8731599837142291,1.3882007154060054,0.172891465,1.5113195738701908,1.3973040219557114,1.2171736723454787,1.3701708697579393,0.17341101875,1.5049941838561625
Zr2O,0.8731599837142291,0.0,1.5738110009285564,0.8953661758021565,1.7544918624550812,1.6073750639262492,1.4930079684032536,1.5868661174646719,0.8869767554052164,1.663592176697411
ZrO2,1.3882007154060054,1.5738110009285564,0.0,1.3227249457453347,0.7808281555250517,0.6254036337459636,0.3042910069570899,0.1568558017647753,1.3253861961562516,0.48573518514264813
Zr3O,0.172891465,0.8953661758021565,1.3227249457453347,0.0,1.4944710662562075,1.388771664473475,1.1810697863728246,1.3040737841341692,0.1555444275,1.4969522806190088
ZrO2,1.5113195738701908,1.7544918624550812,0.7808281555250517,1.4944710662562075,0.0,0.4154974125116925,0.777309182226908,0.8013412119865877,1.4979120094764975,0.8882747444505856
ZrO2,1.3973040219557114,1.6073750639262492,0.6254036337459636,1.388771664473475,0.4154974125116925,0.0,0.6004866706618,0.5873363174599701,1.3779909157362422,0.7278042593886239
ZrO2,1.2171736723454787,1.4930079684032536,0.3042910069570899,1.1810697863728246,0.777309182226908,0.6004866706618,0.0,0.2793543772064562,1.1776348044279614,0.5786883308797832
ZrO2,1.3701708697579393,1.5868661174646719,0.1568558017647753,1.3040737841341692,0.8013412119865877,0.5873363174599701,0.2793543772064562,0.0,1.3103210762048114,0.5123142215435245
Zr3O,0.17341101875,0.8869767554052164,1.3253861961562516,0.1555444275,1.4979120094764973,1.3779909157362424,1.1776348044279614,1.3103210762048116,0.0,1.4940856072018227
ZrO2,1.5049941838561625,1.663592176697411,0.48573518514264813,1.4969522806190088,0.8882747444505856,0.7278042593886239,0.5786883308797832,0.5123142215435244,1.494085607201823,0.0
