,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2
SiO2,0.0,0.47082860785117475,0.7034107442574404,0.6017904377987877,0.45560663122613665,0.34282130560980484,0.11479921176520813,0.4285113977734971,0.11497142280751804,0.4513942392714858
SiO2,0.47082860785117475,0.0,0.3964353590615701,0.17906550765011797,0.06565790473954802,0.21005073898972082,0.5425949723230881,0.25355520379766805,0.5419324052087982,0.06381303707625596
SiO2,0.7034107442574404,0.3964353590615701,0.0,0.22638180049077228,0.362175264356857,0.5007265056513024,0.7146539249946544,0.41795523858847083,0.7158276157902606,0.3687546699776991
SiO2,0.6017904377987877,0.17906550765011797,0.22638180049077228,0.0,0.18322578477569262,0.359804458814752,0.6298632456753026,0.33214861781246796,0.6292006785610127,0.16847480270806336
SiO2,0.45560663122613665,0.06565790473954802,0.362175264356857,0.18322578477569262,0.0,0.1946968089979091,0.5234840888063035,0.25446966983304087,0.5228215216920136,0.055294717964605944
SiO2,0.34282130560980484,0.21005073898972082,0.5007265056513024,0.359804458814752,0.1946968089979091,0.0,0.36193130543121743,0.20129845711290084,0.3612687383169275,0.21495014358261244
SiO2,0.11479921176520813,0.5425949723230881,0.7146539249946544,0.6298632456753026,0.5234840888063035,0.36193130543121743,0.0,0.44539162217891715,0.0068422352993469104,0.5083705406534964
SiO2,0.4285113977734971,0.25355520379766805,0.41795523858847083,0.33214861781246796,0.25446966983304087,0.20129845711290084,0.44539162217891715,0.0,0.4471826181073668,0.21714534068136704
SiO2,0.11497142280751804,0.5419324052087982,0.7158276157902606,0.6292006785610127,0.5228215216920136,0.3612687383169275,0.0068422352993469104,0.4471826181073668,0.0,0.5077079735392065
SiO2,0.4513942392714858,0.06381303707625596,0.3687546699776991,0.16847480270806336,0.055294717964605944,0.21495014358261244,0.5083705406534964,0.21714534068136704,0.5077079735392065,0.0
