,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2
SiO2,0.0,0.5454682043850424,0.703410733188423,0.6377938527305334,0.5264363094248249,0.42103406735121085,0.2299126321453181,0.45918071651930387,0.22958626992635953,0.5322352545218704
SiO2,0.5454682043850424,0.0,0.4175010881309778,0.256128491644641,0.2194056696149988,0.3039817195049034,0.6076481432040084,0.30633608080406954,0.609883403799121,0.2122872931418487
SiO2,0.703410733188423,0.4175010881309778,0.0,0.3269145802567496,0.3871932318434638,0.5056494081073561,0.7147058031200395,0.4179552585339409,0.7158276164980392,0.40166689875351375
SiO2,0.6377938527305334,0.256128491644641,0.3269145802567496,0.0,0.28151624485747856,0.4458548888324704,0.6593695315333957,0.3798912301339834,0.6605179081839645,0.27449595835317775
SiO2,0.5264363094248249,0.2194056696149988,0.38719323184346377,0.2815162448574785,0.0,0.2914130742656483,0.5953808967522384,0.30045977287104564,0.5972553539542323,0.20613093177292868
SiO2,0.4210340673512109,0.30398171950490344,0.5056494081073561,0.4458548888324704,0.29141307426564833,0.0,0.454399472503228,0.2655706180982738,0.4550283533525595,0.3025779907312638
SiO2,0.2299126321453181,0.6076481432040084,0.7147058031200393,0.6593695315333957,0.5953808967522385,0.454399472503228,0.0,0.4736277408192781,0.0078413543660309,0.5755112019627506
SiO2,0.4591807165193039,0.3063360808040695,0.41795525853394094,0.3798912301339834,0.30045977287104564,0.2655706180982738,0.4736277408192781,0.0,0.4762701685706316,0.28863189623373886
SiO2,0.2295862699263595,0.609883403799121,0.715827616498039,0.6605179081839645,0.5972553539542323,0.4550283533525594,0.007841354366030898,0.4762701685706316,0.0,0.5772963332329792
SiO2,0.5322352545218703,0.2122872931418487,0.4016668987535138,0.27449595835317775,0.20613093177292868,0.3025779907312638,0.5755112019627506,0.28863189623373886,0.5772963332329794,0.0
