,TiO,Ti3O5,Ti2O3,Ti2O,Ti3O,TiO2,Ti2O3,Ti6O,Ti3O5,Ti3O5
TiO,0.0,0.5531377494627808,0.6116052267316052,0.7589379156189695,0.9865375183395599,0.6965128702169214,0.6775817778483114,1.160903859977954,0.5496431886773593,0.5854767859099231
Ti3O5,0.5531377494627808,0.0,0.5702190920000001,0.6587294391868959,0.7900979699999999,0.644350884324272,0.5394840967500001,0.9516128939137937,0.344225534375,0.4721993025
Ti2O3,0.6116052267316052,0.570219092,0.0,0.8301545796965486,1.012794110375,0.8598684655247523,0.591646922,1.283129696088593,0.60835583475,0.7424837065
Ti2O,0.7589379156189695,0.6587294391868959,0.8301545796965485,0.0,0.6919450959847167,0.6951917030480829,0.7905062443193537,0.9544979518835934,0.6866979466875802,0.5620485484997695
Ti3O,0.9865375183395599,0.7900979699999999,1.0127941103749998,0.6919450959847167,0.0,0.8143718959847166,0.9171066215,0.7199684413534085,0.8142179900000001,0.715370795
TiO2,0.6965128702169214,0.644350884324272,0.8598684655247523,0.6951917030480829,0.8143718959847168,0.0,0.6675364987310654,0.9311901094076436,0.6447446870125617,0.5068561146856314
Ti2O3,0.6775817778483113,0.53948409675,0.591646922,0.7905062443193537,0.9171066215,0.6675364987310654,0.0,1.191094285563925,0.43205001075,0.6011136429999999
Ti6O,1.160903859977954,0.9516128939137936,1.283129696088593,0.9544979518835934,0.7199684413534085,0.9311901094076436,1.191094285563925,0.0,1.071746836584178,0.8741664818333243
Ti3O5,0.5496431886773592,0.34422553437500003,0.6083558347500001,0.6866979466875803,0.81421799,0.6447446870125617,0.43205001075,1.071746836584178,0.0,0.46760358562499993
Ti3O5,0.5854767859099231,0.47219930250000003,0.7424837064999998,0.5620485484997695,0.7153707949999999,0.5068561146856314,0.6011136429999999,0.8741664818333243,0.467603585625,0.0
